,embedding,rnn,fc
0,0.2084249883180284,0.02733333555584112,0.13191470964163304
1,0.1599952199462959,0.025970289912848377,0.17945702229459629
2,0.17932985235211904,0.031529943665022375,0.1940840010012497
3,0.22596875673784883,0.0434685660723342,0.2069066630706725
4,0.2609913474088383,0.0539639725789719,0.21041171855690619
5,0.2801008728699886,0.06344761972342912,0.2097230010875273
6,0.29027639504170183,0.071165142287212,0.2071133084728683
7,0.2967976544889643,0.07647720440397045,0.20422093462478066
8,0.30405744500579585,0.08167919608118189,0.2022888425337181
9,0.31053567347192607,0.08618130581301761,0.20060837912685708
10,0.3159405273412649,0.08928724327503858,0.20000999223088986
11,0.3229980531558152,0.09251109601304858,0.199710116961346
12,0.3283771942415144,0.0955617181811154,0.1993215491151868
13,0.3342652426868774,0.09753815996724542,0.19928637633907095
14,0.3361467486872347,0.09568208794227835,0.19903071903007816
