,embedding,rnn,fc
0,0.30852921554965157,0.10668982049299294,0.2214385976661078
1,0.3412507141423798,0.12122511367138687,0.24745429908718475
2,0.3663687684520363,0.12134954897792578,0.262129948350426
3,0.4235099223828732,0.1284074645314577,0.28027857439877163
4,0.4813169321964401,0.13712030245645956,0.2923773011664441
5,0.5359876004564189,0.14349267397921808,0.2980741278805229
6,0.5666541092781,0.14881190982155143,0.299285306814879
7,0.6006598127070473,0.15743027288897785,0.2997433698601923
8,0.6097754647052445,0.15938543410784684,0.2985201372976484
9,0.6269256029456984,0.1642122761932035,0.2969594495065966
10,0.6415042445454014,0.16885109238660037,0.2959189123807548
11,0.6452919594845917,0.17177673033336952,0.29448976903730867
12,0.6631929026225248,0.17728254383665765,0.2942249876361617
13,0.6647957772276808,0.17902041064762392,0.29248656112472954
14,0.6695760340149226,0.18209601702233655,0.2909354532572673
