,embedding,rnn,fc
0,0.26129279540752276,0.08445332141042172,0.21032056643040656
1,0.2654912984677746,0.08137880588613673,0.2566762315376157
2,0.3735319657328849,0.10206682263196853,0.29048002854324295
3,0.4521206798963249,0.12510262091260907,0.30015826267845114
4,0.4808192909695208,0.1388861214472854,0.300247646169737
5,0.5044154884526506,0.151041213140464,0.30002684422652237
6,0.5224718560736316,0.16071138689585496,0.2995834221522576
7,0.5383862850721925,0.16976215319906865,0.2990810268856876
8,0.5562099099042825,0.17880879524091142,0.2989257971178934
9,0.5693041833777291,0.18671828609755417,0.29906637809835956
10,0.5877134083226944,0.195199294508105,0.29933613136260345
11,0.5988093132812841,0.20142132066515236,0.2993405568486196
12,0.6124934119482836,0.2078970153136955,0.2993641872356723
