,embedding,rnn,fc
0,0.19144432877070963,0.03918739618092223,0.16086232142420917
1,0.13185322601445174,0.029602492737846358,0.20015101556176282
2,0.17292984120528368,0.037798621615972174,0.20968051384867673
3,0.2082341185111242,0.04647669454137334,0.21470724112320264
4,0.22745663752236092,0.055270151023857274,0.21505351227339511
5,0.2416870722178525,0.06298101232490201,0.21317926937748174
6,0.2535248908485907,0.07097258997358342,0.21039296545253214
7,0.2685574289644137,0.08060550260112602,0.20834759254891347
8,0.28540866387387115,0.08938748611581104,0.20584825793654696
9,0.30259292262295884,0.09786276242084568,0.2036663240105554
10,0.3202860443949855,0.10576938337180763,0.2014155545924344
11,0.3345360274155003,0.11093625325641672,0.1986287650640103
12,0.3500481830172551,0.11703148827291443,0.1968935851631007
13,0.3643997889982226,0.12200256603440114,0.19482014275490656
14,0.37671095381180447,0.1265813298038362,0.19308179009870705
