,embedding,rnn,fc
0,0.2564811810583099,0.09876632707783983,0.2715951845699844
1,0.229816241383863,0.09991189124927284,0.2969150425111972
2,0.293161426379811,0.12565946671202255,0.3090155609752401
3,0.353289869633348,0.1575222335292589,0.31345393514372216
4,0.39419860635340837,0.18470617219221216,0.3123204290435145
5,0.4319125409820117,0.2078882669811719,0.3091434816706169
6,0.4654574309048864,0.23003014389541931,0.3056126563606085
7,0.49710661384354654,0.25017622125839506,0.3026851727857623
8,0.5224055170741243,0.2681734539255558,0.2998745202870244
9,0.5462328183736341,0.282715762531249,0.2973554076597793
10,0.5684661128131362,0.29698144392023096,0.2953096418605128
11,0.5886256134059901,0.3047738596263419,0.2936233187004594
12,0.6085818241117522,0.3172917885434193,0.2922353918135438
13,0.6251406192119854,0.3231253350022598,0.29089375336358597
14,0.639467837405391,0.3307212352301576,0.289671609539558
