model,window_size,dataset_type,epoch,train_loss,val_loss,test_loss,test_accuracy,perplexity,random_baseline
RNN,1,short,5,6.028340522396476,6.385233694520348,5.849939305182602,0.17808302684250096,347.2133057909857,9.21074029199751
RNN,2,short,11,3.970760307603649,5.121903355812415,4.055070064432786,0.3253002255501595,57.689204815980816,9.21074029199751
RNN,3,short,13,3.6372991910922416,5.007282985770371,3.672387334900425,0.4144026984739805,39.34572524966501,9.21074029199751
LSTM,1,short,10,5.790430340845047,6.351432888239684,5.724083721597758,0.18279722837461646,306.15261565690577,9.21074029199751
LSTM,2,short,15,3.866803325134751,4.949142211918555,4.898921750201427,0.28447767866214213,134.14505979315805,9.21074029199751
LSTM,3,short,15,3.6423277664726386,4.807993242117897,4.756481624368055,0.3409668177107675,116.33589162845422,9.21074029199751
LSTM,2,long,15,3.840029805873482,5.016215895857188,4.893028499383153,0.33628198149156235,133.35683419661706,9.21074029199751
RNN,2,long,15,3.1729821467569934,4.909013092080107,4.7544231669177295,0.3560492651061513,116.09666544851926,9.21074029199751
